period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t17,17,33848.8817425127,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.8,8.008000000000001,正常,55.00000000000001
t18,18,33759.2531892446,0.0,89.62855326804798,89.6285532680486,89.62855326804798,0.0,100.0,11.65171192484632,1.2,13.982054309815583,正常,64.02039519146328
t19,19,33658.9186654655,0.0,100.33452377915607,100.334523779158,100.33452377915607,0.0,100.0,13.043488091290541,1.2,15.652185709548649,正常,71.66751698511285
t20,20,33551.4306408926,0.0,107.48802457287246,107.488024572871,107.48802457287246,0.0,100.0,13.97344319447323,1.2,16.768131833367875,正常,76.77716040919357
t21,21,33490.9306408926,0.0,60.50000000000001,60.5,60.50000000000001,0.0,100.0,7.865,1.2,9.438,正常,43.214285714285715
t22,22,33430.4306408926,0.0,60.50000000000001,60.5,60.50000000000001,0.0,100.0,7.865,0.4,3.1460000000000004,正常,43.214285714285715
t23,23,33386.4306408926,0.0,44.0,44.0,44.0,0.0,100.0,5.720000000000001,0.4,2.2880000000000003,正常,31.428571428571427
t24,24,33353.7056408926,0.0,32.725,32.7249999999985,32.725,0.0,100.0,4.254249999999805,0.4,1.7016999999999223,正常,23.37499999999893
t25,25,33320.9806408926,0.0,32.725,32.7249999999985,32.725,0.0,100.0,4.254249999999805,0.4,1.7016999999999223,正常,23.37499999999893
t26,26,33288.2556408926,0.0,32.725,32.7250000000058,32.725,0.0,100.0,4.254250000000754,0.4,1.7017000000003017,正常,23.375000000004142
t27,27,33255.5306408926,0.0,32.725,32.7249999999985,32.725,0.0,100.0,4.254249999999805,0.4,1.7016999999999223,正常,23.37499999999893
t28,28,33222.8056408926,0.0,32.725,32.7249999999985,32.725,0.0,100.0,4.254249999999805,0.4,1.7016999999999223,正常,23.37499999999893
t29,29,33190.0806408926,0.0,32.725,32.7249999999985,32.725,0.0,100.0,4.254249999999805,0.4,1.7016999999999223,正常,23.37499999999893
t30,30,33136.3181408926,0.0,53.7625,53.7625000000044,53.7625,0.0,100.0,6.9891250000005725,0.4,2.7956500000002293,正常,38.401785714288856
t31,31,33067.1551220284,0.0,69.16301886423027,69.1630188642303,69.16301886423027,0.0,100.0,8.991192452349939,0.8,7.192953961879951,正常,49.40215633159307
t32,32,32997.0301220284,0.0,70.125,70.125,70.125,0.0,100.0,9.11625,1.2,10.9395,正常,50.089285714285715
t33,33,32926.9051220284,0.0,70.125,70.125,70.125,0.0,100.0,9.11625,1.2,10.9395,正常,50.089285714285715
t34,34,32856.7801220284,0.0,70.125,70.125,70.125,0.0,100.0,9.11625,1.2,10.9395,正常,50.089285714285715
t35,35,32796.0051220284,0.0,60.775000000000006,60.7749999999942,60.775000000000006,0.0,100.0,7.900749999999246,1.2,9.480899999999096,正常,43.41071428571014
t36,36,32735.2301220284,0.0,60.775000000000006,60.7750000000015,60.775000000000006,0.0,100.0,7.900750000000195,0.8,6.320600000000156,正常,43.41071428571536
t37,37,32669.7801220284,0.0,65.45,65.4500000000007,65.45,0.0,100.0,8.50850000000009,0.8,6.806800000000073,正常,46.7500000000005
t38,38,32604.3301220284,0.0,65.45,65.4500000000007,65.45,0.0,100.0,8.50850000000009,0.8,6.806800000000073,正常,46.7500000000005
t39,39,32538.8801220284,0.0,65.45,65.4499999999971,65.45,0.0,100.0,8.508499999999623,0.8,6.806799999999699,正常,46.74999999999793
t40,40,32473.4301220284,0.0,65.45,65.4500000000007,65.45,0.0,100.0,8.50850000000009,0.8,6.806800000000073,正常,46.7500000000005
t41,41,32407.9801220284,0.0,65.45,65.4500000000007,65.45,0.0,100.0,8.50850000000009,0.8,6.806800000000073,正常,46.7500000000005
t42,42,32331.7958517505,0.0,76.18427027784078,76.1842702778413,76.18427027784078,0.0,100.0,9.90395513611937,1.2,11.884746163343243,正常,54.417335912743795
t43,43,32246.5115065382,0.0,85.28434521228267,85.2843452122797,85.28434521228267,0.0,100.0,11.086964877596362,1.2,13.304357853115635,正常,60.91738943734265
t44,44,32155.1466856513,0.0,91.36482088694159,91.3648208869417,91.36482088694159,0.0,100.0,11.877426715302422,1.2,14.252912058362906,正常,65.26058634781549
