period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t26,26,28132.6425173374,0.0,35.699999999999996,35.7000000000007,35.699999999999996,0.0,100.0,4.641000000000091,0.4,1.8564000000000362,警戒,27.461538461538996
t27,27,28096.9425173374,0.0,35.699999999999996,35.7000000000007,35.699999999999996,0.0,100.0,4.641000000000091,0.4,1.8564000000000362,警戒,27.461538461538996
t28,28,28061.2425173374,0.0,35.699999999999996,35.6999999999971,35.699999999999996,0.0,100.0,4.6409999999996225,0.4,1.856399999999849,警戒,27.46153846153623
t29,29,28025.5425173374,0.0,35.699999999999996,35.7000000000007,35.699999999999996,0.0,100.0,4.641000000000091,0.4,1.8564000000000362,警戒,27.461538461538996
t30,30,27966.8925173374,0.0,58.65,58.6500000000015,58.65,0.0,100.0,7.624500000000195,0.4,3.049800000000078,警戒,45.115384615385764
t31,31,27891.4419513037,0.0,75.45056603370573,75.4505660337054,75.45056603370573,0.0,100.0,9.808573584381703,0.8,7.846858867505363,警戒,58.03889694900415
t32,32,27814.9419513037,0.0,76.5,76.5,76.5,0.0,100.0,9.945,1.2,11.934,警戒,58.84615384615385
t33,33,27738.4419513037,0.0,76.5,76.5,76.5,0.0,100.0,9.945,1.2,11.934,警戒,58.84615384615385
t34,34,27661.9419513037,0.0,76.5,76.5,76.5,0.0,100.0,9.945,1.2,11.934,警戒,58.84615384615385
t35,35,27595.6419513037,0.0,66.3,66.2999999999993,66.3,0.0,100.0,8.61899999999991,1.2,10.34279999999989,警戒,50.99999999999946
t36,36,27529.3419513037,0.0,66.3,66.2999999999993,66.3,0.0,100.0,8.61899999999991,0.8,6.895199999999928,警戒,50.99999999999946
t37,37,27457.9419513037,0.0,71.39999999999999,71.4000000000015,71.39999999999999,0.0,100.0,9.282000000000195,0.8,7.4256000000001565,警戒,54.92307692307807
t38,38,27386.5419513037,0.0,71.39999999999999,71.4000000000015,71.39999999999999,0.0,100.0,9.282000000000195,0.8,7.4256000000001565,警戒,54.92307692307807
t39,39,27315.1419513037,0.0,71.39999999999999,71.3999999999978,71.39999999999999,0.0,100.0,9.281999999999714,0.8,7.425599999999772,警戒,54.92307692307523
t40,40,27243.7419513037,0.0,71.39999999999999,71.4000000000015,71.39999999999999,0.0,100.0,9.282000000000195,0.8,7.4256000000001565,警戒,54.92307692307807
t41,41,27172.3419513037,0.0,71.39999999999999,71.4000000000015,71.39999999999999,0.0,100.0,9.282000000000195,0.8,7.4256000000001565,警戒,54.92307692307807
t42,42,27089.2318382733,0.0,83.11011303037175,83.1101130303687,83.11011303037175,0.0,100.0,10.80431469394793,1.2,12.965177632737516,警戒,63.930856177206685
t43,43,26996.194370769,0.0,93.03746750430835,93.0374675043095,93.03746750430835,0.0,100.0,12.094870775560237,1.2,14.513844930672283,警戒,71.5672826956227
t44,44,26896.5236570741,0.0,99.67071369484536,99.6707136948462,99.67071369484536,0.0,100.0,12.957192780330006,1.2,15.548631336396006,警戒,76.66977976526631
t45,45,26840.4236570741,0.0,56.1,56.0999999999985,56.1,0.0,100.0,7.292999999999806,1.2,8.751599999999767,警戒,43.153846153845
t46,46,26784.3236570741,0.0,56.1,56.1000000000022,56.1,0.0,100.0,7.293000000000286,0.4,2.917200000000115,警戒,43.153846153847844
t47,47,26743.5236570741,0.0,40.8,40.8,40.8,0.0,100.0,5.303999999999999,0.4,2.1216,警戒,31.384615384615383
