period,hour,actual_hour,day,storage,inflow,demand,pump_flow,channel_flow,shortage,supply_rate,energy_kwh,electricity_price,energy_cost
t33,33,9,Day2,50599.7634745333,58.03098916674487,65.74025148547635,65.7402514854763,65.7402514854766,0.0,99.99999999999993,8.546232693111921,1.2,10.255479231734306
t34,34,10,Day2,50582.9008220597,53.74394924423414,70.60660171779821,70.6066017177982,70.6066017177982,0.0,99.99999999999997,9.178858223313767,1.2,11.01462986797652
t35,35,11,Day2,50562.3756521118,53.333023039753144,73.8581929876693,73.8581929876693,73.8581929876673,0.0,100.0,9.60156508839701,1.2,11.52187810607641
t36,36,12,Day2,50553.1980882507,65.82243613891431,75.0,75.0,75.0,0.0,100.0,9.75,0.8,7.800000000000001
t37,37,13,Day2,50541.4107128493,65.55370846272972,77.34108386419354,77.3410838641935,77.3410838641939,0.0,99.99999999999994,10.054340902345157,0.8,8.043472721876126
t38,38,14,Day2,50525.4257680923,63.60725643145433,79.59220118838108,79.5922011883811,79.5922011883813,0.0,100.00000000000003,10.346986154489544,0.8,8.277588923591635
t39,39,15,Day2,50504.5906647882,60.8317394921047,81.66684279623523,81.6668427962352,81.6668427962359,0.0,99.99999999999997,10.616689563510576,0.8,8.493351650808462
t40,40,16,Day2,50481.7171885859,60.61180517198235,83.48528137423857,83.4852813742386,83.48528137424,0.0,100.00000000000004,10.85308657865102,0.8,8.682469262920817
t41,41,17,Day2,50457.4428923384,60.703339100113666,84.97763534763054,84.9776353476305,84.97763534763,0.0,99.99999999999994,11.047092595191966,0.8,8.837674076153574
t42,42,18,Day2,50434.0056562157,62.649318267396396,86.08655439013543,86.0865543901354,86.0865543901346,0.0,99.99999999999997,11.191252070717603,1.2,13.429502484861123
t43,43,19,Day2,50415.4607493261,68.22451647522657,86.76942336483876,86.7694233648388,86.7694233648399,0.0,100.00000000000004,11.280025037429045,1.2,13.536030044914854
t44,44,20,Day2,50443.9145263423,73.45377701625716,45.0,45.0,45.0,0.0,100.0,5.8500000000000005,1.2,7.0200000000000005
t45,45,21,Day2,50472.567216217,76.7141573335466,48.06146745892072,48.0614674589207,48.0614674589197,0.0,99.99999999999997,6.247990769659691,1.2,7.497588923591629
t46,46,22,Day2,50494.514837892,72.60447592453185,50.65685424949238,50.6568542494924,50.6568542494924,0.0,100.00000000000003,6.585391052434012,0.8,5.2683128419472105
t47,47,23,Day2,50517.6348399653,75.51103833342165,52.391036260090296,52.3910362600903,52.3910362600903,0.0,100.00000000000003,6.810834713811739,0.8,5.448667771049392
